arm,round,rps,p50,p99,dropped,failed,responses,offered,accounting,proc_cpu_s,idle_arm_cpu_s,machine_busy_s,us_proc,us_machine,nproc,wall_s
a,1,199.990686,5.35ms,16.7ms,0,0.00%,6000,6000,yes,46.10,0.24,46.45,7683.3,7741.7,4,30.4
b,1,199.98714,5.47ms,17.46ms,0,0.00%,6001,6000,yes,47.24,0.96,47.56,7872.0,7925.3,4,30.4
a,2,199.998421,5.61ms,19.68ms,0,0.00%,6001,6000,yes,48.46,0.87,48.73,8075.3,8120.3,4,30.5
b,2,199.998649,5.45ms,19.29ms,0,0.00%,6001,6000,yes,47.29,1.03,48.02,7880.4,8002.0,4,30.5
a,3,199.988928,5.31ms,22.24ms,0,0.00%,6001,6000,yes,46.44,0.89,47.15,7738.7,7857.0,4,30.4
b,3,199.982356,5.25ms,22.02ms,0,0.00%,6001,6000,yes,45.95,0.98,46.33,7657.1,7720.4,4,30.6
a,4,199.990296,4.87ms,22.19ms,0,0.00%,6000,6000,yes,43.04,0.83,43.93,7173.3,7321.7,4,32.3
b,4,199.99093,5.13ms,23.55ms,0,0.00%,6001,6000,yes,45.23,0.98,45.66,7537.1,7608.7,4,30.5
a,5,199.989591,5.53ms,87.76ms,0,0.00%,6000,6000,yes,46.70,0.95,47.33,7783.3,7888.3,4,30.4
b,5,199.989131,5.03ms,19.94ms,0,0.00%,6000,6000,yes,44.45,0.95,45.13,7408.3,7521.7,4,30.5
