arm,round,rps,p50,p99,dropped,failed,responses,offered,accounting,proc_cpu_s,idle_arm_cpu_s,machine_busy_s,us_proc,us_machine,nproc,wall_s
a,1,199.994314,5.07ms,27.38ms,0,0.00%,6001,6000,yes,41.25,0.26,42.02,6873.9,7002.2,4,32.5
b,1,199.988401,5.32ms,74.63ms,0,0.00%,6001,6000,yes,43.34,0.96,44.48,7222.1,7412.1,4,32.3
a,2,199.993592,4.9ms,22.8ms,0,0.00%,6001,6000,yes,42.60,0.91,43.57,7098.8,7260.5,4,32.3
b,2,199.997478,5.04ms,244.27ms,0,0.00%,6001,6000,yes,44.98,0.92,45.51,7495.4,7583.7,4,32.3
a,3,199.969246,5.14ms,20.15ms,0,0.00%,6001,6000,yes,45.41,0.92,46.06,7567.1,7675.4,4,32.4
b,3,199.994588,5.11ms,22.04ms,0,0.00%,6001,6000,yes,45.00,0.85,45.97,7498.8,7660.4,4,32.3
a,4,199.853711,5.11ms,34.17ms,0,0.00%,6001,6000,yes,43.35,0.99,45.05,7223.8,7507.1,4,32.2
b,4,199.990565,5.2ms,58.37ms,0,0.00%,6000,6000,yes,45.28,0.93,45.84,7546.7,7640.0,4,32.5
a,5,199.985497,5.1ms,84.52ms,0,0.00%,6001,6000,yes,44.74,1.20,45.93,7455.4,7653.7,4,32.4
b,5,199.740701,6.12ms,257.34ms,0,0.00%,6001,6000,yes,44.08,0.83,45.35,7345.4,7557.1,4,32.2
