arm,round,rps,p50,p99,dropped,failed,responses,offered,accounting,proc_cpu_s,idle_arm_cpu_s,machine_busy_s,us_proc,us_machine,nproc,wall_s
a,1,199.971101,4.89ms,17.84ms,0,0.00%,6000,6000,yes,41.87,0.22,42.27,6978.3,7045.0,4,30.4
b,1,199.816145,4.9ms,51.1ms,0,0.00%,6000,6000,yes,42.49,1.12,43.37,7081.7,7228.3,4,30.6
a,2,199.952484,5.22ms,111.45ms,0,0.00%,6001,6000,yes,45.08,1.21,46.27,7512.1,7710.4,4,30.5
b,2,199.993524,5.32ms,59.36ms,0,0.00%,6000,6000,yes,47.14,1.17,47.65,7856.7,7941.7,4,30.6
a,3,199.996792,5.39ms,78.29ms,0,0.00%,6001,6000,yes,46.75,1.24,47.55,7790.4,7923.7,4,30.5
b,3,199.987273,5.52ms,68.75ms,0,0.00%,6000,6000,yes,47.57,1.17,47.86,7928.3,7976.7,4,30.5
a,4,199.970377,5.66ms,206.04ms,0,0.00%,6000,6000,yes,49.24,1.31,49.58,8206.7,8263.3,4,30.5
b,4,199.992727,5.32ms,78.2ms,0,0.00%,6001,6000,yes,46.31,1.22,47.13,7717.0,7853.7,4,30.5
a,5,199.99049,5.3ms,91.07ms,0,0.00%,6001,6000,yes,46.01,1.33,46.99,7667.1,7830.4,4,30.5
b,5,199.998415,5.25ms,48.13ms,0,0.00%,6001,6000,yes,45.59,1.16,46.18,7597.1,7695.4,4,30.4
