arm,round,rps,p50,p99,dropped,failed,responses,offered,accounting,proc_cpu_s,idle_arm_cpu_s,machine_busy_s,us_proc,us_machine,nproc,wall_s
a,1,199.991534,5.05ms,235.27ms,0,0.00%,6001,6000,yes,43.31,0.23,43.73,7217.1,7287.1,4,30.4
b,1,199.99661,4.58ms,177.34ms,0,0.00%,6001,6000,yes,40.11,1.09,41.36,6683.9,6892.2,4,32.1
a,2,199.994013,4.71ms,19.59ms,0,0.00%,6000,6000,yes,41.30,1.10,42.91,6883.3,7151.7,4,32.1
b,2,199.98348,4.71ms,22.15ms,0,0.00%,6001,6000,yes,41.41,0.98,42.11,6900.5,7017.2,4,32.0
a,3,200.000091,5.08ms,22.28ms,0,0.00%,6001,6000,yes,44.40,1.14,46.14,7398.8,7688.7,4,32.2
b,3,199.987948,5.08ms,21.12ms,0,0.00%,6001,6000,yes,44.83,1.02,45.18,7470.4,7528.7,4,32.2
a,4,200.00004,5.38ms,22.5ms,0,0.00%,6001,6000,yes,46.68,1.13,47.79,7778.7,7963.7,4,32.0
b,4,199.986142,5.69ms,21.28ms,0,0.00%,6000,6000,yes,49.26,1.07,49.65,8210.0,8275.0,4,32.0
a,5,199.999946,5.93ms,22.54ms,0,0.00%,6001,6000,yes,50.33,1.21,50.69,8386.9,8446.9,4,32.1
b,5,199.953717,5.87ms,21.94ms,0,0.00%,6001,6000,yes,49.63,1.10,49.95,8270.3,8323.6,4,32.2
