arm,round,rps,p50,p99,dropped,failed,responses,offered,accounting,proc_cpu_s,idle_arm_cpu_s,machine_busy_s,us_proc,us_machine,nproc,wall_s,machine_over_arms,contamination
a,1,199.873904,4.91ms,17.79ms,0,0.00%,6001,6000,yes,42.24,0.29,43.12,7038.8,7185.5,4,31.6,1.01,clean
b,1,199.966865,4.94ms,19ms,0,0.00%,6001,6000,yes,42.20,0.85,42.87,7032.2,7143.8,4,32.0,1.00,clean
a,2,199.991367,5.17ms,21.39ms,0,0.00%,6001,6000,yes,45.02,1.06,45.73,7502.1,7620.4,4,32.0,0.99,clean
b,2,199.950604,5.25ms,19.38ms,0,0.00%,6000,6000,yes,45.65,1.01,46.32,7608.3,7720.0,4,32.1,0.99,clean
a,3,199.989322,5.34ms,20.63ms,0,0.00%,6001,6000,yes,45.74,1.10,46.53,7622.1,7753.7,4,32.1,0.99,clean
b,3,199.994106,5.26ms,20.93ms,0,0.00%,6000,6000,yes,45.51,0.98,46.03,7585.0,7671.7,4,32.0,0.99,clean
a,4,199.982317,5.27ms,23.77ms,0,0.00%,6000,6000,yes,45.72,1.05,46.39,7620.0,7731.7,4,32.3,0.99,clean
b,4,200.001543,5.28ms,21.01ms,0,0.00%,6001,6000,yes,45.71,0.99,46.38,7617.1,7728.7,4,32.0,0.99,clean
a,5,199.982822,5.36ms,21.61ms,0,0.00%,6001,6000,yes,46.64,1.01,47.49,7772.0,7913.7,4,32.1,1.00,clean
b,5,199.988231,5.26ms,22.69ms,0,0.00%,6001,6000,yes,45.12,0.92,45.67,7518.7,7610.4,4,32.1,0.99,clean
a,6,199.965098,5.24ms,23.55ms,0,0.00%,6000,6000,yes,45.77,1.02,46.84,7628.3,7806.7,4,32.0,1.00,clean
b,6,199.995338,5.17ms,23.08ms,0,0.00%,6001,6000,yes,44.76,1.41,45.74,7458.8,7622.1,4,32.1,0.99,clean
a,7,199.955336,7.88ms,57.73ms,0,0.00%,6001,6000,yes,47.18,1.05,48.67,7862.0,8110.3,4,32.0,1.01,clean
b,7,199.985976,7.21ms,44.17ms,0,0.00%,6001,6000,yes,43.93,1.39,45.69,7320.4,7613.7,4,32.3,1.01,clean
a,8,199.985999,7.56ms,65.53ms,0,0.00%,6001,6000,yes,47.07,1.06,48.78,7843.7,8128.6,4,32.1,1.01,clean
b,8,199.980188,7.16ms,66.74ms,0,0.00%,6001,6000,yes,43.55,1.40,45.08,7257.1,7512.1,4,31.9,1.00,clean
a,9,199.985476,7.24ms,44.61ms,0,0.00%,6001,6000,yes,46.24,1.03,47.61,7705.4,7933.7,4,32.1,1.01,clean
b,9,199.982306,6.43ms,43.64ms,0,0.00%,6000,6000,yes,41.56,1.36,43.36,6926.7,7226.7,4,32.0,1.01,clean
